Folder,OldFilename,NewFilename,ProposedTitle,Source
00EDUSSE,00edusse_001.png,00edusse_001.png,Avestruz Del Universo Edusse,Metadata
00EDUSSE,00edusse_002.png,00edusse_002.png,La Vaca Solar Y El Rio De Signos,Metadata
00EDUSSE,00edusse_003.png,00edusse_003.png,El Guardian Del Circuito Solar,Metadata
01EXP_NEOCIRC,01exp_neocirc_001.jpg,01exp_neocirc_001.jpg,Hollywood,Metadata
01EXP_NEOCIRC,01exp_neocirc_002.jpg,01exp_neocirc_002.jpg,La selva africana congo,Metadata
01EXP_NEOCIRC,01exp_neocirc_003.jpg,01exp_neocirc_003.jpg,Las Piramides,Metadata
01EXP_NEOCIRC,01exp_neocirc_004.jpg,01exp_neocirc_004.jpg,Luarca,Metadata
01EXP_NEOCIRC,01exp_neocirc_005.jpg,01exp_neocirc_005.jpg,Nepal,Metadata
01EXP_NEOCIRC,01exp_neocirc_006.jpg,01exp_neocirc_006.jpg,Peces En El Fondo,Metadata
01EXP_NEOCIRC,01exp_neocirc_007.jpg,01exp_neocirc_007.jpg,Pekin,Metadata
01EXP_NEOCIRC,01exp_neocirc_008.jpg,01exp_neocirc_008.jpg,New York Estatua,Metadata
01EXP_NEOCIRC,01exp_neocirc_009.jpg,01exp_neocirc_009.jpg,Pueblo En La Costa,Metadata
01EXP_NEOCIRC,01exp_neocirc_010.jpg,01exp_neocirc_010.jpg,San Sebastian,Metadata
01EXP_NEOCIRC,01exp_neocirc_011.jpg,01exp_neocirc_011.jpg,Los vigias del valle solar,Metadata
01EXP_NEOCIRC,01exp_neocirc_012.jpg,01exp_neocirc_012.jpg,El Sendero De Los Globos Y Las Casas De Piedra,Metadata
01EXP_NEOCIRC,01exp_neocirc_013.png,01exp_neocirc_013.png,Mesa De Los Vortices,Metadata
01EXP_NEOCIRC,01exp_neocirc_014.png,01exp_neocirc_014.png,05 Bahia De Faros Y Redes Doradas,Metadata
01EXP_NEOCIRC,01exp_neocirc_015.png,01exp_neocirc_015.png,Montañas de fuego y espejo otoñal,Metadata
01EXP_NEOCIRC,01exp_neocirc_016.png,01exp_neocirc_016.png,Dos Rosas,Metadata
01EXP_NEOCIRC,01exp_neocirc_017.jpg,01exp_neocirc_017.jpg,Catedral En Las Nubes,Metadata
01EXP_NEOCIRC,01exp_neocirc_018.jpg,01exp_neocirc_018.jpg,Guardia Vaticano,Metadata
01EXP_NEOCIRC,01exp_neocirc_019.png,01exp_neocirc_019.png,Puerta en la pradera,Metadata
02CUBESSE stilo,02cubesse_stilo_001.jpeg,02cubesse_stilo_001.jpeg,Flotando como un colibri,Metadata
02CUBESSE stilo,02cubesse_stilo_002.jpeg,02cubesse_stilo_002.jpeg,Mujer sentada,Metadata
02CUBESSE stilo,02cubesse_stilo_003.png,02cubesse_stilo_003.png,Toro en la estepa,Metadata
02CUBESSE stilo,02cubesse_stilo_004.png,02cubesse_stilo_004.png,Perro mastin,Metadata
02CUBESSE stilo,02cubesse_stilo_005.png,02cubesse_stilo_005.png,Reloj pali,Metadata
02CUBESSE stilo,02cubesse_stilo_006.png,02cubesse_stilo_006.png,Reloj de cocina,Metadata
02CUBESSE stilo,02cubesse_stilo_007.png,02cubesse_stilo_007.png,Sunrise valley,Metadata
02CUBESSE stilo,02cubesse_stilo_008.png,02cubesse_stilo_008.png,Estanque de patos talavera,Metadata
02CUBESSE stilo,02cubesse_stilo_009.jpeg,02cubesse_stilo_009.jpeg,Arbol naranjo,Metadata
02CUBESSE stilo,02cubesse_stilo_010.jpeg,02cubesse_stilo_010.jpeg,Barco trigonometrico,Metadata
02CUBESSE stilo,02cubesse_stilo_011.jpeg,02cubesse_stilo_011.jpeg,Basilica talavera,Metadata
02CUBESSE stilo,02cubesse_stilo_012.png,02cubesse_stilo_012.png,Bodegon ceramico,Metadata
02CUBESSE stilo,02cubesse_stilo_013.png,02cubesse_stilo_013.png,Bodegon clasico,Metadata
02CUBESSE stilo,02cubesse_stilo_014.jpeg,02cubesse_stilo_014.jpeg,Caballo al viento,Metadata
